model,fp_types,test_r2,test_rmse
FCNN,AtomPairFP,0.854517251,1.716616558
FCNN,Autocorr,0.340219084,4.422573735
FCNN,AvalonFP,0.912083467,1.334908432
FCNN,Charge,0.643885874,2.733295997
FCNN,Connectivity,0.813808403,2.034978532
FCNN,Constitution,0.847871397,1.784759797
FCNN,Estate,0.844214242,1.751008793
FCNN,EstateFP,0.880949087,1.567137945
FCNN,Fragment,0.869199277,1.673837554
FCNN,InfoContent,0.388114329,3.648659869
FCNN,Kappa,0.452552392,3.375509265
FCNN,MACCSFP,0.87755796,1.576151812
FCNN,MHFP6,0.908828784,1.377518409
FCNN,MorganFP,0.914383987,1.331402692
FCNN,Path,0.551479989,3.069521764
FCNN,PharmacoErGFP,0.70618509,2.467476544
FCNN,PharmacoPFP,0.701282323,2.519761897
FCNN,Property,0.277012022,3.973667615
FCNN,PubChemFP,0.916307833,1.336452873
FCNN,RDkitFP,0.931846256,1.183035346
FCNN,Topology,0.277746088,3.953014335
FCNN,TorsionFP,0.918445957,1.318264379
FCNN,moe206,0.716268898,2.399599385
FCNN,MAP4,0.792630154,2.102974527
